ISO,Zone,Nom
AFG,Afghanistan,AFGHANISTAN
ZAF,Afrique du Sud,AFRIQUE DU SUD
ALA,Åland. Îles,ÅLAND. ÎLES
ALB,Albanie,ALBANIE
DZA,Algérie,ALGÉRIE
DEU,Allemagne,ALLEMAGNE
AND,Andorre,ANDORRE
AGO,Angola,ANGOLA
AIA,Anguilla,ANGUILLA
ATA,Antarctique,ANTARCTIQUE
ATG,Antigua-Et-Barbuda,ANTIGUA-ET-BARBUDA
ESH,Sahara Occidental,SAHARA OCCIDENTAL
SAU,Arabie saoudite,ARABIE SAOUDITE
ARG,Argentine,ARGENTINE
ARM,Arménie,ARMÉNIE
ABW,Aruba,ARUBA
AUS,Australie,AUSTRALIE
AUT,Autriche,AUTRICHE
AZE,Azerbaïdjan,AZERBAÏDJAN
BHS,Bahamas,BAHAMAS
BHR,Bahreïn,BAHREÏN
BGD,Bangladesh,BANGLADESH
BRB,Barbade,BARBADE
BEL,Belgique,BELGIQUE
BLZ,Belize,BELIZE
BEN,Bénin,BÉNIN
BMU,Bermudes,BERMUDES
BTN,Bhoutan,BHOUTAN
BLR,Bélarus,BÉLARUS
MMR,Myanmar,MYANMAR
BOL,Bolivie (État plurinational de),Bolivie (État plurinational de)
BIH,Bosnie-Herzégovine,BOSNIE-HERZÉGOVINE
BWA,Botswana,BOTSWANA
BVT,Bouvet. Île,BOUVET. ÎLE
BRA,Brésil,BRÉSIL
BRN,Brunéi Darussalam,BRUNÉI DARUSSALAM
BGR,Bulgarie,BULGARIE
BFA,Burkina Faso,BURKINA FASO
BDI,Burundi,BURUNDI
CYM,Caïmanes. Îles,CAÏMANES. ÎLES
KHM,Cambodge,CAMBODGE
CMR,Cameroun,CAMEROUN
CAN,Canada,CANADA
CPV,Cabo Verde,CABO VERDE
CAF,République centrafricaine,CENTRAFRICAINE. RÉPUBLIQUE
CHL,Chili,CHILI
CHN,Chine - RAS de Hong-Kong,CHINE
CXR,Christmas. Île,CHRISTMAS. ÎLE
CYP,Chypre,CHYPRE
CCK,Cocos (Keeling). Îles,COCOS (KEELING). ÎLES
COL,Colombie,COLOMBIE
COM,Comores,COMORES
COG,Congo,CONGO
COD,République démocratique du Congo,CONGO. RÉPUBLIQUE DÉMOCRATIQUE DU
COK,Cook. Îles,COOK. ÎLES
PRK,République populaire démocratique de Corée. RÉPUBLIQUE POPULAIRE DÉMOCRATIQUE DE
KOR,République De Corée. RÉPUBLIQUE DE
CRI,Costa Rica,COSTA RICA
CIV,Côte d'Ivoire,CÔTE D’IVOIRE
HRV,Croatie,CROATIE
CUB,Cuba,CUBA
CUW,Curaçao,CURAÇAO
DNK,Danemark,DANEMARK
DJI,Djibouti,DJIBOUTI
DOM,République dominicaine,DOMINICAINE. RÉPUBLIQUE
DMA,Dominique,DOMINIQUE
EGY,Égypte,ÉGYPTE
ARE,Émirats Arabes Unis,ÉMIRATS ARABES UNIS
ECU,Équateur,ÉQUATEUR
ERI,Érythrée,ÉRYTHRÉE
ESP,Espagne,ESPAGNE
EST,Estonie,ESTONIE
SWZ,Eswatini,ESWATINI
USA,États-Unis d'Amérique,ÉTATS-UNIS
ETH,Éthiopie,ÉTHIOPIE
FRO,Féroé. Îles,FÉROÉ. ÎLES
FJI,Fidji,FIDJI
FIN,Finlande,FINLANDE
FRA,France,FRANCE
GAB,Gabon,GABON
GMB,Gambie,GAMBIE
GEO,Géorgie,GÉORGIE
SGS,Géorgie Du Sud Et Les Îles Sandwich Du Sud,GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD
GHA,Ghana,GHANA
GIB,Gibraltar,GIBRALTAR
GRC,Grèce,GRÈCE
GRD,Grenade,GRENADE
GRL,Groenland,GROENLAND
GLP,Guadeloupe,GUADELOUPE
GUM,Guam,GUAM
GTM,Guatemala,GUATEMALA
GGY,Guernesey,GUERNESEY
GIN,Guinée,GUINÉE
GNB,Guinée-Bissau,GUINÉE-BISSAU
GNQ,Guinée Équatoriale,GUINÉE ÉQUATORIALE
GUY,Guyana,GUYANA
GUF,Guyane Française,GUYANE FRANÇAISE
HTI,Haïti,HAÏTI
HMD,Heard Et Macdonald. Îles,HEARD ET MACDONALD. ÎLES
HND,Honduras,HONDURAS
HKG,Hong Kong,HONG KONG
HUN,Hongrie,HONGRIE
IND,Inde,INDE
IDN,Indonésie,INDONÉSIE
IRQ,Iraq,IRAQ
IRN,Iran (République islamique d'). RÉPUBLIQUE ISLAMIQUE D'
IRL,Irlande,IRLANDE
ISL,Islande,ISLANDE
ISR,Israël,ISRAËL
ITA,Italie,ITALIE
JAM,Jamaïque,JAMAÏQUE
JPN,Japon,JAPON
JEY,Jersey,JERSEY
JOR,Jordanie,JORDANIE
KAZ,Kazakhstan,KAZAKHSTAN
KEN,Kenya,KENYA
KGZ,Kirghizistan,KIRGHIZISTAN
KIR,Kiribati,KIRIBATI
KWT,Koweït,KOWEÏT
LAO,République démocratique populaire lao,LAO. RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE
LSO,Lesotho,LESOTHO
LVA,Lettonie,LETTONIE
LBN,Liban,LIBAN
LBR,Libéria,LIBÉRIA
LBY,Libye,LIBYE
LIE,Liechtenstein,LIECHTENSTEIN
LTU,Lituanie,LITUANIE
LUX,Luxembourg,LUXEMBOURG
MAC,Macao,MACAO
MKD,République De Macédoine,RÉPUBLIQUE DE MACÉDOINE
MDG,Madagascar,MADAGASCAR
MYS,Malaisie,MALAISIE
MWI,Malawi,MALAWI
MDV,Maldives,MALDIVES
MLI,Mali,MALI
FLK,Falkland. Îles (Malvinas),FALKLAND. ÎLES (MALVINAS)
MLT,Malte,MALTE
IMN,Île De Man,ÎLE DE MAN
MNP,Mariannes Du Nord. Îles,MARIANNES DU NORD. ÎLES
MAR,Maroc,MAROC
MHL,Marshall. Îles,MARSHALL. ÎLES
MTQ,Martinique,MARTINIQUE
MUS,Maurice,MAURICE
MRT,Mauritanie,MAURITANIE
MYT,Mayotte,MAYOTTE
MEX,Mexique,MEXIQUE
FSM,Micronésie. États Fédérés De,MICRONÉSIE. ÉTATS FÉDÉRÉS DE
UMI,Îles Mineures Éloignées Des États-Unis,ÎLES MINEURES ÉLOIGNÉES DES ÉTATS-UNIS
MDA,Moldavie,MOLDAVIE
MCO,Monaco,MONACO
MNG,Mongolie,MONGOLIE
MNE,Monténégro,MONTÉNÉGRO
MSR,Montserrat,MONTSERRAT
MOZ,Mozambique,MOZAMBIQUE
NAM,Namibie,NAMIBIE
NRU,Nauru,NAURU
NPL,Népal,NÉPAL
NIC,Nicaragua,NICARAGUA
NER,Niger,NIGER
NGA,Nigéria,NIGÉRIA
NIU,Niué,NIUÉ
NFK,Norfolk. Île,NORFOLK. ÎLE
NOR,Norvège,NORVÈGE
NCL,Nouvelle-Calédonie,NOUVELLE-CALÉDONIE
NZL,Nouvelle-Zélande,NOUVELLE-ZÉLANDE
OMN,Oman,OMAN
UGA,Ouganda,OUGANDA
UZB,Ouzbékistan,OUZBÉKISTAN
PAK,Pakistan,PAKISTAN
PLW,Palaos,PALAOS
PSE,État De Palestine,ÉTAT DE PALESTINE
PAN,Panama,PANAMA
PNG,Papouasie-Nouvelle-Guinée,PAPOUASIE-NOUVELLE-GUINÉE
PRY,Paraguay,PARAGUAY
NLD,Pays-Bas,PAYS-BAS
BES,Bonaire. Saint-Eustache Et Saba,BONAIRE. SAINT-EUSTACHE ET SABA
PER,Pérou,PÉROU
PHL,Philippines,PHILIPPINES
PCN,Pitcairn,PITCAIRN
POL,Pologne,POLOGNE
PYF,Polynésie Française,POLYNÉSIE FRANÇAISE
PRI,Porto Rico,PORTO RICO
PRT,Portugal,PORTUGAL
QAT,Qatar,QATAR
REU,Réunion,RÉUNION
ROU,Roumanie,ROUMANIE
GBR,Royaume-Uni,ROYAUME-UNI
RUS,Fédération de Russie,RUSSIE. FÉDÉRATION DE
RWA,Rwanda,RWANDA
BLM,Saint-Barthélemy,SAINT-BARTHÉLEMY
KNA,Saint-Kitts-Et-Nevis,SAINT-KITTS-ET-NEVIS
SMR,Saint-Marin,SAINT-MARIN
MAF,Saint-Martin (Partie Française),SAINT-MARTIN (PARTIE FRANÇAISE)
SXM,Saint-Martin (Partie Néerlandaise),SAINT-MARTIN (PARTIE NÉERLANDAISE)
SPM,Saint-Pierre-Et-Miquelon,SAINT-PIERRE-ET-MIQUELON
VCT,Saint-Vincent-Et-Les-Grenadines,SAINT-VINCENT-ET-LES-GRENADINES
VAT,Saint-Siège (État De La Cité Du Vatican),SAINT-SIÈGE (ÉTAT DE LA CITÉ DU VATICAN)
SHN,Sainte-Hélène. Ascension Et Tristan Da Cunha,SAINTE-HÉLÈNE. ASCENSION ET TRISTAN DA CUNHA
LCA,Sainte-Lucie,SAINTE-LUCIE
SLB,Salomon. Îles,SALOMON. ÎLES
SLV,El Salvador,EL SALVADOR
WSM,Samoa,SAMOA
ASM,Samoa Américaines,SAMOA AMÉRICAINES
STP,Sao Tomé-Et-Principe,SAO TOMÉ-ET-PRINCIPE
SEN,Sénégal,SÉNÉGAL
SRB,Serbie,SERBIE
SYC,Seychelles,SEYCHELLES
SLE,Sierra Leone,SIERRA LEONE
SGP,Singapour,SINGAPOUR
SVK,Slovaquie,SLOVAQUIE
SVN,Slovénie,SLOVÉNIE
SOM,Somalie,SOMALIE
SDN,Soudan,SOUDAN
SSD,Soudan du Sud,SOUDAN DU SUD
LKA,Sri Lanka,SRI LANKA
SWE,Suède,SUÈDE
CHE,Suisse,SUISSE
SUR,Suriname,SURINAME
SJM,Svalbard Et Île Jan Mayen,SVALBARD ET ÎLE JAN MAYEN
SYR,République arabe syrienne,SYRIENNE. RÉPUBLIQUE ARABE
TJK,Tadjikistan,TADJIKISTAN
TWN,Taïwan,TAÏWAN
TZA,République-Unie de Tanzanie,République-Unie de Tanzanie
TCD,Tchad,TCHAD
CZE,Tchéquie,TCHÉQUIE
ATF,Terres Australes Françaises,TERRES AUSTRALES FRANÇAISES
IOT,Océan Indien. Territoire Britannique De L',OCÉAN INDIEN. TERRITOIRE BRITANNIQUE DE L'
THA,Thaïlande,THAÏLANDE
TLS,Timor-Leste,TIMOR-LESTE
TGO,Togo,TOGO
TKL,Tokelau,TOKELAU
TON,Tonga,TONGA
TTO,Trinité-Et-Tobago,TRINITÉ-ET-TOBAGO
TUN,Tunisie,TUNISIE
TKM,Turkménistan,TURKMÉNISTAN
TCA,Turks Et Caïques. Îles,TURKS ET CAÏQUES. ÎLES
TUR,Turquie,TÜRKIYE1
TUV,Tuvalu,TUVALU
UKR,Ukraine,UKRAINE
URY,Uruguay,URUGUAY
VUT,Vanuatu,VANUATU
VEN,Venezuela (République bolivarienne du),VENEZUELA. RÉPUBLIQUE BOLIVARIENNE DU
VGB,Îles Vierges Britanniques,ÎLES VIERGES BRITANNIQUES
VIR,Îles Vierges Des États-Unis,ÎLES VIERGES DES ÉTATS-UNIS
VNM,Viet Nam,VIET NAM
WLF,Wallis-Et-Futuna,WALLIS-ET-FUTUNA
YEM,Yémen,YÉMEN
ZMB,Zambie,ZAMBIE
ZWE,Zimbabwe,ZIMBABWE
